Title,Price,Area,BHK,Bathrooms,Furnished,Balconies,Floor,Ownership,Facing,Amenities,Transaction Type,Property Type,Location,Year of Construction,Is Luxury,Description,Property Image
1BHK Multistorey Apartment for Rent in Bandra West,"70,000",750 12800,1,1,Furnished,,7,,South -West,Main Road,Rent,Apartment,Mumbai,2012,F,"1 BHK, Multistorey Apartment is available for Rent in Bandra West, Mumbai for 70,000",67249079_2_PropertyImage345-4855396928822.jpg
3BHK Multistorey Apartment for Rent in Lodha New Cuffe Parade at Wadala East,1.4 Lac,1980 12800,3,4,Unfurnished,4,21,,East,"Garden/Park, Pool, Main Road",Rent,Apartment,Mumbai,1994,F,"3 BHK, Multistorey Apartment is available for Rent in Wadala East, Mumbai for 1.35 Lac(s)",66155783_5_hatsAppImage20230217at13.56.28.jpeg
3BHK Multistorey Apartment for Rent in Lodha Park at Bhim Nagar Worli,1.9 Lac,1592 12800,3,3,Unfurnished,1,20,,North - East,Main Road,Rent,Apartment,Mumbai,,F,"3 BHK, Multistorey Apartment is available for Rent in Bhim Nagar Worli, Mumbai for 1.85 Lac(s)",66686709_1_HOTO20230407165614.jpg
3BHK Multistorey Apartment for Rent in Rustomjee Elanza at Malad West,1.1 Lac,1305 12800,3,3,Unfurnished,3,11,Freehold,West,"Garden/Park, Main Road",Rent,Apartment,Mumbai,2010,F,"3 BHK, Multistorey Apartment is available for Rent in Malad West, Mumbai for 1.50 Lac(s)",67875387_1_PropertyImage559-8385323621333.jpg
3BHK Multistorey Apartment for Rent in DLH The Park Residences at Andheri West,1.4 Lac,1350 12800,3,3,Unfurnished,,29,Freehold,East,"Pool, Garden/Park, Main Road",Rent,Apartment,Mumbai,2000,F,"3 BHK, Multistorey Apartment is available for Rent in Andheri West, Mumbai for 1.40 Lac(s)",66670931_3_PropertyImage314-6685675359874.jpg
3BHK Multistorey Apartment for Rent in Insignia at Bandra East,1.4 Lac,2000 12800,3,3,Semi-Furnished,1,20,,East,"Garden/Park, Pool, Main Road",Rent,Apartment,Mumbai,1989,F,"3 BHK, Multistorey Apartment is available for Rent in Bandra East, Mumbai for 1.40 Lac(s)",67472033_4_hatsAppImage20230611at1.15.08PM2.jpeg
4BHK Multistorey Apartment for Rent in Lodha Park at Worli,3 Lac,2150 12800,4,4,Semi-Furnished,,60,,North - East,Pool,Rent,Apartment,Mumbai,1994,F,"4 BHK, Multistorey Apartment is available for Rent in Worli, Mumbai for 3.0 Lac(s)",53195305_4_1614842977725-006.jpg
2BHK Multistorey Apartment for Rent in Kanakia Silicon Valley at Powai,"80,000",737 12800,2,2,Unfurnished,,10,Freehold,North,"Pool, Garden/Park",Rent,Apartment,Mumbai,1978,F,"2 BHK, Multistorey Apartment is available for Rent in Powai, Mumbai for 80,000",2022/07/27/Project-Photo-9-Kanakia-Silicon-Valley-Mumbai-5136411_850_1200.jpg
3BHK Multistorey Apartment for Rent in DLH The Park Residences at Andheri West,1.5 Lac,910 12800,3,3,Semi-Furnished,3,6,,,,Rent,Apartment,Mumbai,2012,F,"3 BHK, Multistorey Apartment is available for Rent in Andheri West, Mumbai for 1.50 Lac(s)",67523061_3_hatsAppImage20230606at12.40.41.jpeg
1BHK Multistorey Apartment for Rent in Godrej Prime at Chembur,"55,000",700 12800,1,1,Furnished,,8,,,Main Road,Rent,Apartment,Mumbai,1990,F,"1 BHK, Multistorey Apartment is available for Rent in Chembur, Mumbai for 55,000",66583723_3_PropertyImage959-4938467389555.jpg
